28	Stunning the Hog	https://www.redriverclimbing.com/RRCGuide/?type=route&id=75	Sport	45	5.12d	4.91	This severely overhanging route is located right of Unsportsmanlike Conduct, Begin on the ledge. Bust through some of the coolest holds in the Red making a difficult clip along the way. Don't forget to breath.	11	33	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/571e661dbd143,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/529167c7cd246,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4d375a5e7c4f7	0
29	Sex Farm	https://www.redriverclimbing.com/RRCGuide/?type=route&id=76	Sport	50	5.12b	4.44	Directly right of Stunning the Hog is this left angling route. Climb sustained moves through pockets and crimps to the anchors.	12	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/44b78b870f23a	0
30	Gumby Unicorn	https://www.redriverclimbing.com/RRCGuide/?type=route&id=3318	Trad	30	Unknown	4.46	The awe inspiring left angling crack beginning beneath Aqueduct Pocket. This long standing project deemed too treacherous and mind blowing by many has finally been put to rest. The use of delicate smears, insecure jams and fairy dust is required to reach the summit of this futuristic King Line. Others claimed to have climbed the route prior to Hoctor and Sweeney's ascent but were obviously lying.	12	9999	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/592ccd2b823e1,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/58f7af9ad9aa0,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/55359afe46db9,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/551d374061913	0
31	Aquaduck Pocket	https://www.redriverclimbing.com/RRCGuide/?type=route&id=77	Sport	50	5.11b	3.39	This route is located on the the wall 60 feet right of Sex Farm which overhangs in the beginning then turns vertical. Boulder the start then continue up easier face to the anchors.	13	24	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/aquaduct_pocket.jpg	0
32	Relaxed Atmosphere	https://www.redriverclimbing.com/RRCGuide/?type=route&id=78	Sport	60	5.11c	3.25	This route is located about 10 feet right of Aquaduck Pocket. Begin on a ramp and boulder the start to gain the vertical and easier face.	14	25	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/relaxedatmosphere.jpg	0
33	Third World Lover	https://www.redriverclimbing.com/RRCGuide/?type=route&id=79	Sport	60	5.11c	2.97	This route is located about 10 feet right of Relaxed Atmosphere. It is the rightmost route on this wall. Begin far left of the first bolt and gun through a sequential traverse on surprisingly not so good holds. Crank up and over the lip and relax on easier ground to the anchors.	15	25		0
34	Hen-ry!	https://www.redriverclimbing.com/RRCGuide/?type=route&id=80	Sport	50	5.11b	3.98	This route is located on a blunt arete 150 feet right of the previous three routes. Tiptoe and stretch through delicate moves to the anchors.	16	24	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/hen-ry.jpg	0
35	Trad Boy Go	https://www.redriverclimbing.com/RRCGuide/?type=route&id=81	Trad	70	5.11a	3	This route is located 30 feet right of Hen-ry! and ascends the thin crack beginning in a black, spherical alcove. More fun than it looks.	17	23		0
36	Table of Colors, direct start	https://www.redriverclimbing.com/RRCGuide/?type=route&id=1099	Sport	80	5.13b	4.77	This climb is located 75 feet right of Hen-ry! in an overhanging wall with large boulders at its base. The original start begins just right of a 20 foot high seam and heads left at the shelf. The direct (and more difficult) start begins about 15 feet left of the seam.	18	38	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5a0e3d1fae745	0
37	Table of Colors, original version	https://www.redriverclimbing.com/RRCGuide/?type=route&id=82	Sport	80	5.13a	4.76	This climb is located 75 feet right of Hen-ry! in an overhanging wall with large boulders at its base. The original start begins just right of a 20 foot high seam and heads left at the shelf. The direct (and more difficult) start begins about 15 feet left of the seam.	19	37	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5a0e3d0c2a338,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/571599abd6a74,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bd22bc4c863a,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4990a3d671918,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/bberlier_table.jpg	0
38	Mercy, the Huff	https://www.redriverclimbing.com/RRCGuide/?type=route&id=83	Sport	80	5.12b	4.84	This route shares the first bolt of the original start of Table of Colors, then heads right.	20	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5773261df3aa9,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/571599d0eaa46,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/51cba6e85e0cd,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4fba3991e85d5,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4fba395963e18,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e1de9759d042,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e1dad8b170d0,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/450a9e816cc48	0
39	The Dinosaur	https://www.redriverclimbing.com/RRCGuide/?type=route&id=84	Sport	65	5.12d	4.24	This route begins on top of a huge boulder 15 feet right of Mercy, the Huff. Move up and tackle a low crux by stepping right (short folks) or straight up (lucky folks). Save some gas for the high redpoint crux.	21	33	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/55b8643f38908,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/55b8642fecc7a	0
40	Wild, Yet Tasty	https://www.redriverclimbing.com/RRCGuide/?type=route&id=85	Sport	50	5.12a	3.77	This route begins 15 feet right of The Dinosaur. Begin on the huge boulder and step into the crack system. Ascend the dihedral then move left onto the face. Climb up and through a powerful and crimpy crux to gain more positive holds for the rest of the way. Don't shake on the runout!	22	30	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/55aa8a9c71a18,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/55aa8a4545ef2,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c8955a25498c,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bd18eb05612f,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/wildyet.jpg	0
42	In the Light	https://www.redriverclimbing.com/RRCGuide/?type=route&id=40	Sport	55	5.10c	3.54	As you near the cliff from the approach trail, a buttress will appear to the right. Three routes can be found on the short, pocketed, southwestern face of the buttress. This is the first of the three. Chains are hard to clip if you're short.	1	18	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bc3a9ec60900,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/inthelight.jpg	0
43	Sunshine	https://www.redriverclimbing.com/RRCGuide/?type=route&id=39	Sport	50	5.9+	3.11	This is the route directly left of In The Light.	2	13	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/sunshine.jpg	0
44	Moonbeam	https://www.redriverclimbing.com/RRCGuide/?type=route&id=38	Sport	50	5.9	3.11	This is the route directly to the left of Sunshine.	3	12	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5a1b8d85a2c17,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e3647c5a6f07,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e36421d51ea8,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4e3641c1800d5,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4d49ef3c3e5d4,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/moonbeam.jpg	0
45	Decays Way	https://www.redriverclimbing.com/RRCGuide/?type=route&id=37	Trad	60	5.7	2.3	This climb ascends the face and crack to the left of Moonbeam. A variation to the route was climbed by Dave Lantis in 1995. It traverses right from the small ledge two thirds of the way up and angles up and right.	4	6		0
46	Top-roper's Route	https://www.redriverclimbing.com/RRCGuide/?type=route&id=766	Trad	50	5.2	3		5	1		0
47	Stay Left	https://www.redriverclimbing.com/RRCGuide/?type=route&id=36	Sport	50	5.10a	2.33	This is the bolted route to the left and around the corner from Moonbeam and almost on top of Mercy Miss Percy.	6	16	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/stayleft.jpg	0
48	Mercy Miss Percy	https://www.redriverclimbing.com/RRCGuide/?type=route&id=35	Sport	50	5.9	2.15	This route is located directly opposite Possum Lips on a dirty looking face.	7	12	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/597200bd433f8,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/mercymiss.jpg	0
49	Possum Lips	https://www.redriverclimbing.com/RRCGuide/?type=route&id=34	Sport	40	5.10d	3.74	This slab route is located to the right of the arete which marks the start of the overhanging pocketed face on which Fuzzy Undercling is located.	8	19	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/51cba63f0d43f,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4f0b406bd4adb,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/Possum.jpg	0
50	Fuzzy Undercling	https://www.redriverclimbing.com/RRCGuide/?type=route&id=33	Sport	60	5.11b	4.44	This is the first route on the obvious overhanging pocketed face. It begins directly to the left of an arete. Boulder the start then pull on plates and jugs to the top.	9	24	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/51cba6751aebb,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bd22a70aab3d	0
51	Tissue Tiger	https://www.redriverclimbing.com/RRCGuide/?type=route&id=32	Sport	60	5.12b	4.51	This route is located just left of Fuzzy Undercling. It is the second route from the right on the obvious overhanging pocketed wall. Climb through jugs and pockets then rest up for the high crux near the Africa shaped feature.	10	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/59a4ae597a68a,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bd18eecec834,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46966dc616f66	0
52	Gung Ho	https://www.redriverclimbing.com/RRCGuide/?type=route&id=31	Sport	60	5.12b	4.73	This is the bolted route left of Tissue Tiger. Boulder the start then climb through pumpy pockets to a nice rest. Crank through the high crux then clip the chains.	11	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/gungho.jpg	0
53	Reliquary	https://www.redriverclimbing.com/RRCGuide/?type=route&id=30	Sport	60	5.12b	4.68	This is the leftmost route on the obvious overhanging pocketed wall 30 feet right of Mule. Look for two kneebars on the route.	12	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/reliquary.jpg	0
54	Gullyneering	https://www.redriverclimbing.com/RRCGuide/?type=route&id=2529	Trad	80	5.9	3	The right-leaning crack system between the sport routes. Face climb directly up to the crack with marginal horizontal pieces and a clutch tiny cam (00/000) for pro. Sink that first ''real" piece and cruise to the top on solid iron jugs, good pro, and unexpectedly fun moves. You can also take the more rational way up and climb the nice crack start on the first couple bolts of Mule. Stays dry in rain except for the mercifully casual mud gully awaiting up top.	12	12	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/50c6271f95c0b,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/50c627076b83a	0
55	Mule	https://www.redriverclimbing.com/RRCGuide/?type=route&id=29	Sport	90	5.12c	4.53	This route begins about 30 feet to the left of the overhanging face on which Reliquary is located. It begins in sort of a dihedral. Climb the dihedral to gain the face then travel through a couple of cruxes to the anchors.	13	32	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5bbbb7d5049e8,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/59720269c0299,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/mule.jpg	0
56	The Legend	https://www.redriverclimbing.com/RRCGuide/?type=route&id=28	Sport	90	5.13b	4.53	This route is located about 10 feet to the left of Mule. Begin matched on two crimps then fire out boulder problems for the first few bolts. Continue up easier face to the anchors.	14	38	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/legend.jpg	0
57	Nagypapa	https://www.redriverclimbing.com/RRCGuide/?type=route&id=27	Sport	80	5.13d	5	This is the last bolted route on the overhanging wall before the dihedral in which Mental Health is located.	15	40	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/544f03a203f11,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/544efc62ce087,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/nudgepapa.jpg	0
58	Mental Health	https://www.redriverclimbing.com/RRCGuide/?type=route&id=26	Trad	80	5.11b	4	This is the dihedral directly left of Nagypapa.	16	24	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/mentalhealth.jpg	0
59	Stacy's Farewell	https://www.redriverclimbing.com/RRCGuide/?type=route&id=21	Trad	100	5.5	1.75	This route is located left of Nudgepapa and around the corner. It's an easy looking crack behind a large tree.	17	4		0
60	Henry Kissinger's Glasses	https://www.redriverclimbing.com/RRCGuide/?type=route&id=17	Mixed	100	5.10d	2.75	This is the mossy crack with a large tree growing nearby left of Stacy's Farewell.	18	19		0
61	Forearm Follies (to first set of chains)	https://www.redriverclimbing.com/RRCGuide/?type=route&id=1276	Sport	70	5.11d	4.28	This climb is located around the buttress left of Henry Kissinger's Glasses.Super fun and boudlery for the first four bolts, then a nice rest and just hang to the (first set of) chains. Upgraded to 5.11d from 5.11b and split from the full, 12b version.	19	26	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/52a649b264708,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bd19156a2cf9,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bc3ac70734b1	0
62	Forearm Follies (to 2nd set of chains)	https://www.redriverclimbing.com/RRCGuide/?type=route&id=16	Sport	100	5.12b	4.47	This climb is located around the buttress left of Henry Kissinger's Glasses.	20	31		0
63	Another Doug Reed Route	https://www.redriverclimbing.com/RRCGuide/?type=route&id=15	Sport	60	5.10c	3.75	Scramble up to a ledge at the base of Jungle Beat to the start of this route.	21	18	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/55115df20787b,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/51cba6af6f5f0,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4bc3aaf834aa1,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/dougreed.jpg	0
64	Jungle Beat	https://www.redriverclimbing.com/RRCGuide/?type=route&id=14	Trad	180	5.9+	4.82	This is the huge dihedral and roof left of Another Doug Reed Route.	22	13	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/497547b0da69b,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/43b95fa6780c8,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/junglebeat.jpg	0
65	Things That Go Bump In the Night	https://www.redriverclimbing.com/RRCGuide/?type=route&id=13	Trad	175	5.9	0	This crack system is located 50 feet left of Jungle Beat.	23	12		0
66	Sailing Shoes	https://www.redriverclimbing.com/RRCGuide/?type=route&id=42	Trad	60	5.9	0	This is the crack on the end of the buttress which ends in the middle of the face. It is to the right of Thought It Was Bubbles.	24	12		0
67	Nicorette	https://www.redriverclimbing.com/RRCGuide/?type=route&id=43	Sport	50	5.12a	4.42	This is the obvious arete climb to the right of Sailing Shoes on the eastern corner of the buttress.	25	30	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a93927f63,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a90aed1c1,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a8e5e9596,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/nicorette.jpg	0
68	Nicoderm	https://www.redriverclimbing.com/RRCGuide/?type=route&id=44	Sport	60	5.12b	4.75	This route shares the same start as Nicorette but angles out to the right on the face. Sandbagged.	26	31	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a8a6cf89f,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a88721221,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/nicoderm.jpg	0
69	Minumum Creep	https://www.redriverclimbing.com/RRCGuide/?type=route&id=45	Sport	60	5.11c	4.15	This route begins in the offwidth to the right of Nicoderm then veers left onto the face. Climb the crack for the first couple of bolts then step left onto the face and fight the pump to the anchors.	27	25	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/53e68092e9160,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a843ebd46,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a8129e0ce,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/4c94a7e63a545	0
70	Not Worth It	https://www.redriverclimbing.com/RRCGuide/?type=route&id=46	Trad	50	5.9	3.75	The obvious offwidth to the right of Nicoderm.	28	12	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/5b70abf49fecf	0
71	Danita Dolores	https://www.redriverclimbing.com/RRCGuide/?type=route&id=47	Sport	50	5.10b	2.88	This route ascends the face a few feet to the right of the offwidth climb Not Worth It.	29	17	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/danitadeloris.jpg	0
72	Blade Runner - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=48	Trad	80	5.7	2.57	This is the handcrack in a shallow dihedral to the right of the bolted route Danita Dolores.	30	6		0
73	Hurricane Amy - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=49	Sport	60	5.11c	4	This bolted route begins in the crack of Blade Runner then angles to the left and up. Difficult clips.Currently closed 11/2002.	31	25		0
74	Revival - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=50	Sport	60	5.13a	5	This route ascends the obvious arching pocketed face to the right of Hurricane Amy. Currently closed 11/2002.	32	37		0
75	Beenestalker - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=51	Trad	80	5.10d	4	This is the right leaning dihedral to the right of Revival. Variation:Belay from rap anchors then climb the overhang on the left. Stop at the ledge which is contigous with the top of the buttress and walk left to anchors or trees to rappel.John Bronaugh, Roger Pearson, 1988	33	19	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/43bbedd3c89dd	0
76	Thirsting Skull - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=52	Sport	50	5.12c	4.86	This is the pocketed face climb to the right of Beenestalker. Tricky fifth clip.Currently closed 11/2002.	34	32		0
77	Jac Mac - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=53	Sport	50	5.11d	4.5	This route ascends the overhanging line of huecos a few feet right of Thirsting Skull. Currently closed 11/2002.	35	26	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/46aa94cdc7c59	0
78	Rad Boy Go - Closed	https://www.redriverclimbing.com/RRCGuide/?type=route&id=54	Sport	50	5.12a	5	This route starts on a 15 foot ledge. The first two bolts are shared with Jac Mac. Currently closed 11/2002.	36	30		0
79	Thought It Was Bubbles	https://www.redriverclimbing.com/RRCGuide/?type=route&id=41	Trad	80	5.8	1	Right of In The Light andon the same face of the buttress is this overhanging left-facing dihedral. ''R" rated.	37	9		0
80	Government Cheese	https://www.redriverclimbing.com/RRCGuide/?type=route&id=55	Sport	50	5.11d	3.98	This route begins directly in front of a boulder about 30 feet right of Rad Boy Go. Boulder to this first bolt then climb through slopers and sidepulls to the anchors.	38	26	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/48b48f9ede42b,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/48b48ee83cc51,https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/govcheese.jpg	0
81	Parting Gift	https://www.redriverclimbing.com/RRCGuide/?type=route&id=1618	Sport	55	5.11b	3.63	Step a few feet right from Government Cheese to locate this route which climbs similar but is slightly easier. Start on a small boulder and mantle up onto a sloping ledge. Squeeze wide pinches up the overhanging face to hidden anchors above a bulge. Rapelling is recommended to avoid rope rub against the rock due to the unavoidable set back nature of the anchors.	38	24	https://www.redriverclimbing.com/RRCGuide/phpThumb.php?src=img/48b48f24e7758	0
